size,text
2,他說
2,以下
2,以後的
2,但一
2,但因為
2,住在
2,作型態差異大的情
2,作者
2,作與愛情的平衡點
2,你一
2,你以為
2,你對她
2,你有沒有
2,你的
2,你自
2,來了
2,來說
2,來還是
2,個人是不會想要同
2,個多月了
2,個字
2,個禮拜
2,假設一個
2,偶爾
2,像是
2,先說
2,公司
2,其中
2,其他
2,其女友
2,其實就
2,出去
2,出國工作與愛情的
2,分享一下
2,分手後
2,分開
2,別人
2,別跟他尚未結婚的
2,到一個
2,到妳
2,到這
2,前的
2,前輩
2,前陣子
2,前面
2,動漫
2,勸我重視的親友別
2,半年
2,南部
2,即將
2,去回憶
2,友下班後不願意花
2,友了
2,友以
2,友別跟他尚未結婚
2,友同居
2,友在
2,友從女孩變成女人
2,友有
2,友的女兒要嫁給大
2,只是不
2,只是朋友
2,只能說
2,只要
2,叫我
2,可能會
2,各有
2,各種
2,各自有
2,同居傷名聲的原因
2,同居沒什麼
2,告白
2,告訴
2,周圍
2,哈哈
2,唱歌給
2,唸書
2,問卦
2,問問
2,問我
2,問題還在
2,喜歡上的女生有同
2,喝一杯
2,四年了
2,四年的感情
2,回應
2,回答
2,回頭了
2,因為某
2,困難
2,國外
2,國工作與愛情的平
2,在意所以
2,型態差異大的情侶
2,報備
2,壓力
2,外表到底有沒有問
2,大學同學
2,天和
2,天會
2,天都會
2,太多
2,太過
2,女友從女孩變成女
2,女性友人
2,女方
2,女生的
2,她很
2,她的
2,姑娘
2,學生
2,完這
2,室友
2,家裡
2,對同
2,對女
2,對對方
2,對方的
2,對有
2,對話內容
2,小弟
2,小生的誠實翻譯機
2,尚未結婚的情人結
2,就不配擁有愛情嗎
2,就很
2,就沒
2,工作型態差異大的
2,工作與愛情的平衡
2,工程師
2,差異大的情侶夫妻
2,年代
2,年前
2,年輕
2,幾乎
2,彼此
2,很久
2,很好
2,很長
2,後不願意花時間陪
2,後來
2,後續
2,後還
2,得很
2,心了
2,心情不好
2,心的
2,忍不住
2,怎樣
2,怎麼學習信任伴侶
2,怎麼繼續
2,您的意見
2,情況
2,想法
2,想起
2,愛你
2,愛的
2,感覺
2,態差異大的情侶夫
2,戀愛
2,我一
2,我也會勸我重視的
2,我個人是不會想要
2,我們兩
2,我卻還是
2,我和
2,我喜歡
2,我在
2,我工作
2,我很
2,我男友
2,我發現
2,我的外表到底有沒
2,我的朋友
2,我終究不明白女人
2,我講話
2,我跟我女
2,我這種理解有錯嗎
2,我還
2,我重視的親友別跟
2,或是
2,或許
2,截圖
2,手機排版
2,手機給對方用之後
2,打招呼
2,打擾
2,打砲
2,打電話來
2,找人
2,把你當
2,把新買的手機給對
2,抒發
2,提了分手
2,提分
2,故事
2,整個
2,新女友
2,新買的手機給對方
2,方打電話
2,昨天
2,是一些
2,是不是
2,是不會想要同居的
2,是什麼
2,是以
2,是因為
2,是太
2,是想
2,是懷念
2,是有
2,時代
2,時候沒
2,會傳染愛滋
2,會勸我重視的親友
2,會起
2,會跟
2,會這樣
2,有一個
2,有三
2,有人
2,有兩
2,有各
2,有和男
2,有女
2,有房間
2,有時
2,有正確的
2,有殘缺就不配擁有
2,有相
2,有點
2,朋友之間
2,朋友到
2,朋友的女兒要嫁給
2,朋友看
2,未結婚的情人結婚
2,本來
2,本文轉錄自
2,東西
2,標準
2,次見面
2,歐霸
2,歡上的女生有同居
2,正確的懷疑
2,歲的上司怎麼辦
2,殘缺就不配擁有愛
2,每天都
2,每次都說
2,沒事
2,沒聯
2,沒辦法
2,清楚
2,為主
2,為什麼
2,為何
2,為大
2,然不是
2,然後
2,照顧
2,班後不願意花時間
2,男友下班後不願意
2,男友是
2,男友自己
2,男友說不愛就不愛
2,男女朋友的
2,男方
2,男的
2,畢業
2,異性朋友
2,當男友下班後不願
2,疾病
2,發文
2,發現了
2,的一
2,的不
2,的事情
2,的人生
2,的前
2,的地方
2,的外表到底有沒有
2,的女兒要嫁給大她
2,的女生有同居經驗
2,的定義
2,的對話
2,的對象
2,的工
2,的心態
2,的想
2,的愛
2,的手機給對方用之
2,的文章
2,的曖昧
2,的生
2,的親友別跟他尚未
2,的話
2,的那種
2,的都
2,目前已跟男友交往
2,看完
2,真的要這麼絕情嗎
2,知道我
2,社會
2,禮物
2,禮貌
2,種事情
2,穩定
2,突然
2,算同居
2,約會
2,終究不明白女人心
2,絕對
2,給你
2,給她
2,給我
2,經過
2,缺就不配擁有愛情
2,聊聊
2,聽到
2,肥宅
2,自己不
2,自己也
2,自己的
2,自從
2,自由
2,蠻高級的
2,表到底有沒有問題
2,被封鎖
2,被我
2,複雜
2,見過
2,視的親友別跟他尚
2,親友別跟他尚未結
2,訊息
2,許多
2,話很
2,該怎麼學習信任伴
2,認為
2,認真
2,說真
2,說這
2,請女生幫我看
2,請見諒
2,謝謝
2,變得
2,讓對方
2,買的手機給對方用
2,起生
2,超過
2,跟他尚未結婚的情
2,跟女
2,跟她
2,身體
2,這件事
2,這是
2,這樣會
2,遇到
2,過幾
2,還好
2,都不
2,都是女生
2,都有
2,重視的親友別跟他
2,附近
2,非常
2,面對
2,面都
2,順便
2,高中的
2,麼一直在
2,麼不
